SERIE	TITULO	DATA_VENCIMENTO	DATA_REF	DATA_CAPTURA	FINANCEIRO (R$ BI)	QUANTIDADE (MIL)	COD_REF
BRSTNCLTN7D3	'LTN'	2023-01-01	2023-07-01	2022-12-01	146.33795656	146337.95656	'BRSTNCLTN7D3'
BRSTNCLTN7X1	'LTN'	2023-04-01	2023-07-01	2022-12-01	25.4324635415615	26237.273	'BRSTNCLTN7X1'
BRSTNCLTN7Q5	'LTN'	2023-07-01	2023-07-01	2022-12-01	191.08811237619298	198321.204	'BRSTNCLTN7Q5'
BRSTNCLTN814	'LTN'	2023-10-01	2023-07-01	2022-12-01	9.02414681778142	9918.356	'BRSTNCLTN814'
BRSTNCLTN7S1	'LTN'	2024-01-01	2023-07-01	2022-12-01	266.0246868719	280908.663	'BRSTNCLTN7S1'
BRSTNCLTN7Y9	'LTN'	2024-04-01	2023-07-01	2022-12-01	65.3437170110938	75589.425	'BRSTNCLTN7Y9'
BRSTNCLTN7W3	'LTN'	2024-07-01	2023-07-01	2022-12-01	83.09567534637286	92859.07435	'BRSTNCLTN7W3'
BRSTNCLTN822	'LTN'	2024-10-01	2023-07-01	2022-12-01	31.8970824678511	39179.516	'BRSTNCLTN822'
BRSTNCLTN7N2	'LTN'	2025-01-01	2023-07-01	2022-12-01	71.09534936131405	85879.88111	'BRSTNCLTN7N2'
BRSTNCLTN7Z6	'LTN'	2025-07-01	2023-07-01	2022-12-01	86.3014706457653	114409.794	'BRSTNCLTN7Z6'
BRSTNCLTN7U7	'LTN'	2026-01-01	2023-07-01	2022-12-01	125.83542266699985	176512.29572999998	'BRSTNCLTN7U7'
BRSTNCLTN806	'LTN'	2029-01-01	2023-07-01	2022-12-01	1.01614235621514	2059.85428	'BRSTNCLTN806'
BRSTNCNTF147	'NTN-F'	2023-01-01	2023-07-01	2022-12-01	130.05322625658158	124000.88562999999	'BRSTNCNTF147'
BRSTNCNTF170	'NTN-F'	2025-01-01	2023-07-01	2022-12-01	108.43543880576354	104942.80642000001	'BRSTNCNTF170'
BRSTNCNTF1P8	'NTN-F'	2027-01-01	2023-07-01	2022-12-01	114.59290586419537	110293.48211	'BRSTNCNTF1P8'
BRSTNCNTF1Q6	'NTN-F'	2029-01-01	2023-07-01	2022-12-01	85.14605978670622	77623.61601000001	'BRSTNCNTF1Q6'
BRSTNCNTF204	'NTN-F'	2031-01-01	2023-07-01	2022-12-01	44.06809994428643	38949.86563	'BRSTNCNTF204'
BRSTNCNTF212	'NTN-F'	2033-01-01	2023-07-01	2022-12-01	14.08092836640031	15020.80838	'BRSTNCNTF212'
BRSTNCLF1R82	'LFT'	2023-03-01	2023-07-01	2022-12-01	181.88144006465564	14402.966970000001	'BRSTNCLF1R82'
BRSTNCLF1R90	'LFT'	2023-09-01	2023-07-01	2022-12-01	292.23466837959	23153.056	'BRSTNCLF1R90'
BRSTNCLF1RA8	'LFT'	2024-03-01	2023-07-01	2022-12-01	147.308421083892	11666.054	'BRSTNCLF1RA8'
BRSTNCLF0008	'LFT'	2024-09-01	2023-07-01	2022-12-01	200.0237965546861	15845.46066	'BRSTNCLF0008'
BRSTNCLF1RC4	'LFT'	2025-03-01	2023-07-01	2022-12-01	148.7287383573071	11785.42059	'BRSTNCLF1RC4'
BRSTNCLF1RD2	'LFT'	2025-09-01	2023-07-01	2022-12-01	182.327535660861	14445.717	'BRSTNCLF1RD2'
BRSTNCLF1RE0	'LFT'	2026-03-01	2023-07-01	2022-12-01	181.751678872712	14402.804	'BRSTNCLF1RE0'
BRSTNCLF1RF7	'LFT'	2026-09-01	2023-07-01	2022-12-01	50.1632217564877	3978.106	'BRSTNCLF1RF7'
BRSTNCLF1RG5	'LFT'	2027-03-01	2023-07-01	2022-12-01	219.8561120368935	17646.20265	'BRSTNCLF1RG5'
BRSTNCLF1RH3	'LFT'	2027-09-01	2023-07-01	2022-12-01	257.102833338839	20644.379	'BRSTNCLF1RH3'
BRSTNCLF1RI1	'LFT'	2028-03-01	2023-07-01	2022-12-01	166.355603279871	13331.895	'BRSTNCLF1RI1'
BRSTNCLF1RK7	'LFT'	2028-09-01	2023-07-01	2022-12-01	175.13288346151998	14006.48	'BRSTNCLF1RK7'
BRSTNCLF1RL5	'LFT'	2029-03-01	2023-07-01	2022-12-01	69.7051373551037	5579.181	'BRSTNCLF1RL5'
BRSTNCNTB054	'NTN-B'	2023-03-15	2023-07-01	2022-12-01	0.02202721467273	5.414	'BRSTNCNTB054'
BRSTNCNTB4O9	'NTN-B'	2023-05-15	2023-07-01	2022-12-01	185.916970143623	45767.11	'BRSTNCNTB4O9'
BRSTNCNTB096	'NTN-B'	2024-08-15	2023-07-01	2022-12-01	216.04041294789127	51759.3359	'BRSTNCNTB096'
BRSTNCNTB633	'NTN-B'	2025-05-15	2023-07-01	2022-12-01	142.526010171475	33523.057	'BRSTNCNTB633'
BRSTNCNTB4U6	'NTN-B'	2026-08-15	2023-07-01	2022-12-01	147.00422729214006	34317.784060000005	'BRSTNCNTB4U6'
BRSTNCNTB682	'NTN-B'	2027-05-15	2023-07-01	2022-12-01	83.73470947007179	20553.08	'BRSTNCNTB682'
BRSTNCNTB4X0	'NTN-B'	2028-08-15	2023-07-01	2022-12-01	92.5278532833915	20643.713	'BRSTNCNTB4X0'
BRSTNCNTB3B8	'NTN-B'	2030-08-15	2023-07-01	2022-12-01	124.16396004376469	28066.729440000003	'BRSTNCNTB3B8'
BRSTNCNTB674	'NTN-B'	2032-08-15	2023-07-01	2022-12-01	37.492323437061685	9046.79088	'BRSTNCNTB674'
BRSTNCNTB0O7	'NTN-B'	2035-05-15	2023-07-01	2022-12-01	127.2543027332329	32000.80374	'BRSTNCNTB0O7'
BRSTNCNTB3C6	'NTN-B'	2040-08-15	2023-07-01	2022-12-01	79.87603671353997	17702.75866	'BRSTNCNTB3C6'
BRSTNCNTB0A6	'NTN-B'	2045-05-15	2023-07-01	2022-12-01	100.44020817643981	27064.99005	'BRSTNCNTB0A6'
BRSTNCNTB3D4	'NTN-B'	2050-08-15	2023-07-01	2022-12-01	182.339056162318	41175.9465	'BRSTNCNTB3D4'
BRSTNCNTB4Q4	'NTN-B'	2055-05-15	2023-07-01	2022-12-01	126.46859992448975	26882.39055	'BRSTNCNTB4Q4'
BRSTNCNTB690	'NTN-B'	2060-08-15	2023-07-01	2022-12-01	21.940939267061502	5302.349	'BRSTNCNTB690'
BRSTNCNTB0K5	'NTN-B Principal'	2024-08-15	2023-07-01	2022-12-01	11.61582969694007	3155.62224	'BRSTNCNTB0K5'
BRSTNCNTB4W2	'NTN-B Principal'	2026-08-15	2023-07-01	2022-12-01	14.0557709565606	4109.37559	'BRSTNCNTB4W2'
BRSTNCNTB3E2	'NTN-B Principal'	2035-05-15	2023-07-01	2022-12-01	12.438188872702145	5864.20066	'BRSTNCNTB3E2'
BRSTNCNTB2U0	'NTN-B Principal'	2045-05-15	2023-07-01	2022-12-01	4.53103349484539	3337.99668	'BRSTNCNTB2U0'
BRSTNCNTC0K4	'NTN-C'	2031-01-01	2023-07-01	2022-12-01	80.28159981344272	11041.88923	'BRSTNCNTC0K4'
